"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동복구매방식(학교주관구매)","동복구매방식(공동구매)","동복구매방식(개별구매)","동복구매방식(기타)","동복구매방식(기타사유)","동복구매방식(해당없음)","동복(평균)가격","하복구매방식(학교주관구매)","하복구매방식(공동구매)","하복구매방식(개별구매)","하복구매방식(기타)","하복구매방식(기타사유)","하복구매방식(해당없음)","하복(평균)가격","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510100","01","S010002301","서울삼양초등학교","02","공립","Y","교복 미착용 학교이므로 자료가 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013900","01","S010002302","서울석관초등학교","02","공립","Y","해당사항 없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129010100","01","S010002303","서울성북초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510100","01","S010002304","서울송중초등학교","02","공립","Y","해당사항 없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510100","01","S010002305","서울송천초등학교","02","공립","Y","교복 미착용","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510200","01","S010002306","서울수송초등학교","02","공립","Y","교복 비구매","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510300","01","S010002307","서울수유초등학교","02","공립","Y","교복 미착용 학교","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013600","01","S010002308","서울숭곡초등학교","02","공립","Y","본교는 교복을 착용하지 않으므로 제외처리함","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013300","01","S010002309","서울숭덕초등학교","02","공립","Y","교복 미착용으로 해당사항 없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013500","01","S010002310","서울숭례초등학교","02","공립","Y","본교 교복 없음.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013600","01","S010002311","서울숭인초등학교","02","공립","Y","교복 미착용하는 공립초등학교임","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129012200","01","S010002312","서울안암초등학교","02","공립","Y","관련없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510200","01","S010002313","서울오현초등학교","02","공립","Y","해당사항 없음(교복 미착용)","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510300","01","S010002314","서울우이초등학교","02","공립","Y","교복 미착용 학교임.","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013800","01","S010002315","서울월곡초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510300","01","S010002316","서울유현초등학교","02","공립","Y","교복착용하지 않음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510300","01","S010002317","서울인수초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013500","01","S010002318","서울일신초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013800","01","S010002319","서울장곡초등학교","02","공립","Y","동하복 미착용으로 제외","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013800","01","S010002320","서울장위초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129011000","01","S010002321","서울정덕초등학교","02","공립","Y","교복 미착용","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013300","01","S010002322","서울정릉초등학교","02","공립","Y","해당사항없음","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013300","01","S010002323","서울정수초등학교","02","공립","Y","해당없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129013300","01","S010002324","서울청덕초등학교","02","공립","Y","교복 착용 미해당","","","","","","","","","","","","","","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510100","01","S010002325","서울화계초등학교","02","공립","Y","초등학교에는 해당사항 없음","","","","","","","","","","","","","","","2","초","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 성북구","1129010300","01","S010002326","성신초등학교","02","사립","N",""," "," ","○"," ",""," ",""," "," ","○"," ",""," ","","","","2022"
"서울특별시교육청","B100000001","서울특별시성북강북교육지원청","B100000348","서울특별시 강북구","1130510100","01","S010002327","영훈초등학교","02","사립","N",""," ","○"," "," ",""," ","135000"," ","○"," "," ",""," ","71000","","","2022"
