"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교수학습공간 일반교실","교수학습공간 교과교실","교수학습공간 특별교실","교수학습공간 수준별교실","교수학습공간 기타","학습지원공간 시청각실","학습지원공간 컴퓨터실","학습지원공간 멀티미디어실","학습지원공간 가타","교원지원공간","관리행정공간","체육집회공간","보건실","학생탈의실","학생샤워실","남자화장실","여자화장실","공용화장실","학생식당","기숙사실수","기타공간","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000763","서울서일초등학교","02","공립","N","","23","","4","1","1","","","","","2","12","1","1","2","","5","5","","2","","5","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000764","서울서초초등학교","02","공립","N","","36","2","2","1","","","","5","1","4","9","1","1","1","","11","11","","","","5","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011500","01","S010000765","서울수서초등학교","02","공립","N","","13","4","8","1","4","","","2","","3","9","1","1","","","8","8","","","","1","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010700","01","S010000766","서울신구초등학교","02","공립","N","","24","6","3","","","7","","4","","6","8","2","1","","","2","2","1","6","","206","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000767","서울신동초등학교","02","공립","N","","49","","2","","","","1","2","","3","8","1","1","","","13","13","","1","","","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000768","서울신중초등학교","02","공립","N","","37","","4","","","","","2","","2","15","1","1","","","9","9","","","","","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011000","01","S010000769","서울압구정초등학교","02","공립","N","","37","","4","","","","","3","","1","15","2","1","","","8","8","","1","","3","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010200","01","S010000770","서울양재초등학교","02","공립","N","","29","","5","","","","","","","9","6","1","1","","","7","7","","1","","1","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000771","서울양전초등학교","02","공립","N","","27","","4","","","","","1","","3","7","1","1","","","","","17","1","","","2","초","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010900","01","S010000772","서울언남초등학교","02","공립","N","","51","12","5","","2","1","2","","","16","10","1","1","2","","18","19","","2","","","2","초","2021"
